date,region,product,amount,qty,memo
2026-08-10,경기,상품_07,871276,43,
2026-04-10,충청,상품_05,4702115,58,
2025-10-06,서울,상품_04,1299101,25,정상
2026-08-14,서울,상품_09,4167351,59,
2026-05-25,경기,상품_14,2557456,27,재구매
2026-06-28,충청,상품_05,2504588,15,정상
2026-05-12,인천,상품_10,1218934,21,
2026-03-05,경기,상품_05,2807158,27,신규고객
2026-07-26,경기,상품_18,4828162,31,
2025-12-01,강원,상품_10,4150498,48,할인적용
2026-02-03,서울,상품_10,3326982,85,
2025-11-14,서울,상품_07,854304,26,재구매
2025-10-13,인천,상품_15,4976472,30,배송주의
2026-07-05,충청,상품_18,3650195,62,할인적용
2025-11-21,인천,상품_10,1032626,78,신규고객
2026-02-16,서울,상품_08,1544215,56,
2025-11-06,인천,상품_08,2019686,55,정상
2026-03-06,제주,상품_20,1165192,39,
2025-11-11,서울,상품_10,2168328,2,할인적용
2025-12-22,경기,상품_18,3581596,4,재구매
2026-03-26,전라,상품_10,4007122,87,재구매
2025-09-17,전라,상품_11,905570,26,신규고객
2026-05-02,경기,상품_16,837559,62,신규고객
2026-01-06,서울,상품_06,2495174,26,배송주의
2026-06-03,서울,상품_06,3343989,23,대량주문
2026-04-20,강원,상품_08,634347,17,할인적용
2026-01-16,강원,상품_08,1409849,76,
2026-06-17,전라,상품_15,1197383,35,할인적용
2026-04-27,제주,상품_20,4658324,30,
2026-05-03,제주,상품_15,3153779,80,
2026-04-20,경기,상품_14,2451828,89,
2025-12-19,강원,상품_10,1935122,96,신규고객
2025-12-22,강원,상품_19,4058214,22,
2025-12-10,충청,상품_02,970467,85,정상
2026-09-13,경상,상품_18,4948732,92,
2026-01-11,경기,상품_01,1086960,12,배송주의
2026-03-31,충청,상품_07,947075,71,대량주문
2026-04-29,경기,상품_04,4917111,73,할인적용
2026-01-11,충청,상품_12,4841903,36,신규고객
2025-12-10,경기,상품_09,2652994,33,신규고객
2025-10-08,제주,상품_02,4184199,29,배송주의
2026-05-10,경기,상품_06,1659321,62,
2026-05-11,인천,상품_15,3401094,85,
2026-05-09,전라,상품_14,4484315,29,대량주문
2025-12-05,강원,상품_02,2519783,22,
2025-10-15,충청,상품_19,3523280,51,배송주의
2025-12-15,제주,상품_12,465855,70,배송주의
2025-12-17,제주,상품_10,1060030,76,할인적용
2026-06-14,경상,상품_17,3397911,44,
2026-04-21,충청,상품_05,223401,5,할인적용
2026-02-17,경상,상품_09,1602322,62,대량주문
2026-01-17,인천,상품_07,3279251,72,신규고객
2025-12-01,경기,상품_14,549038,82,재구매
2026-03-15,강원,상품_15,2388968,80,
2026-08-23,서울,상품_09,850668,39,
2026-06-28,강원,상품_01,3727010,73,배송주의
2026-02-23,제주,상품_13,4536685,12,
2026-04-13,경상,상품_08,134876,12,신규고객
2026-03-26,경기,상품_03,3021423,10,배송주의
2026-09-15,경기,상품_17,413165,94,할인적용
2026-05-20,제주,상품_09,3565769,31,
2026-03-30,충청,상품_01,398215,79,
2026-03-05,인천,상품_02,2160107,76,배송주의
2026-08-25,경상,상품_04,2091176,84,재구매
2026-09-05,제주,상품_02,1882264,99,
2026-02-12,경기,상품_01,1652623,48,신규고객
2026-08-02,강원,상품_20,3769156,95,대량주문
2026-04-01,전라,상품_09,2061488,7,대량주문
2026-04-23,경상,상품_06,4853090,48,대량주문
2025-11-18,경상,상품_12,1199659,71,재구매
2025-11-26,경기,상품_16,2470629,24,
2026-06-25,경상,상품_19,3081217,3,할인적용
2026-06-11,강원,상품_14,4362852,46,
2025-12-03,제주,상품_07,4463685,87,
2025-12-29,제주,상품_09,2581919,83,
2026-03-01,전라,상품_08,1670021,45,정상
2026-02-02,서울,상품_13,1486594,92,대량주문
2026-07-05,경상,상품_10,1090225,86,재구매
2026-08-30,인천,상품_02,3271433,66,재구매
2026-07-10,강원,상품_12,2019700,61,신규고객
2025-12-27,서울,상품_15,4473656,45,
2026-01-15,경기,상품_20,2721667,71,
2026-04-09,충청,상품_17,4117334,74,정상
2026-02-12,충청,상품_04,1795430,71,대량주문
2026-06-21,전라,상품_01,3172062,9,대량주문
2026-08-01,서울,상품_15,4422682,89,
2026-07-22,제주,상품_10,1236765,20,
2025-09-30,인천,상품_04,4936909,30,
2026-04-16,서울,상품_13,4403833,25,재구매
2026-04-16,서울,상품_10,1890011,54,할인적용
2026-05-09,인천,상품_01,4272686,56,
2025-11-11,전라,상품_15,735721,51,정상
2026-01-17,경기,상품_19,745072,86,
2026-06-22,경기,상품_06,2618527,25,정상
2026-08-16,서울,상품_06,946348,74,
2026-08-27,충청,상품_20,2361164,84,정상
2025-10-11,전라,상품_15,3883378,55,
2026-04-01,충청,상품_02,3405192,8,할인적용
2026-02-05,경기,상품_16,2250539,49,신규고객
2026-04-09,강원,상품_03,2397672,86,재구매
2026-01-17,경기,상품_20,403613,63,
2026-04-28,강원,상품_03,639967,12,
2026-03-03,충청,상품_17,616476,63,
2026-05-11,강원,상품_09,1514010,98,배송주의
2026-06-30,제주,상품_16,3471247,69,재구매
2026-01-16,서울,상품_19,1403098,79,대량주문
2026-08-02,강원,상품_12,2060144,93,대량주문
2026-03-24,충청,상품_03,1396710,37,재구매
2026-08-24,서울,상품_04,2603015,76,정상
2026-01-06,경기,상품_05,2834698,1,할인적용
2026-02-06,인천,상품_03,1226472,29,
2026-04-13,인천,상품_17,2662359,64,
2025-10-13,서울,상품_11,4210369,24,정상
2026-04-25,경기,상품_05,179550,30,재구매
2025-10-29,충청,상품_05,3142671,80,재구매
2026-05-12,충청,상품_10,2995125,52,
2025-10-11,강원,상품_06,3770190,14,배송주의
2026-07-15,충청,상품_20,2142352,84,재구매
2026-08-16,경기,상품_20,2033943,61,재구매
2026-05-23,인천,상품_20,4122590,32,대량주문
2026-04-20,경기,상품_20,457709,32,
2026-03-30,경기,상품_03,1483031,43,
2026-07-23,전라,상품_05,2643356,5,할인적용
2026-02-12,경상,상품_19,377188,14,정상
2026-04-05,경상,상품_07,4249876,8,배송주의
2025-09-24,경상,상품_19,3733618,59,배송주의
2026-08-03,경상,상품_16,980258,62,
2026-03-25,전라,상품_07,251971,55,배송주의
2026-01-26,충청,상품_17,1377007,90,
2026-08-20,전라,상품_08,3595078,70,재구매
2025-10-12,강원,상품_16,4094589,96,
2025-10-02,제주,상품_07,1126927,29,재구매
2026-08-04,강원,상품_01,2176810,14,
2025-11-12,경기,상품_12,2726949,28,정상
2026-08-27,서울,상품_09,1173650,61,
2026-06-09,경기,상품_08,3908397,60,대량주문
2026-09-07,인천,상품_04,2573325,16,정상
2026-06-22,경상,상품_04,3755575,63,
2026-01-16,서울,상품_04,707800,97,정상
2025-12-24,인천,상품_11,3347006,42,배송주의
2026-04-05,서울,상품_07,866149,82,
2025-10-16,강원,상품_18,1020911,48,
2025-11-27,경기,상품_18,1464999,31,정상
2025-10-30,충청,상품_06,4382622,7,재구매
2026-09-06,인천,상품_11,1076654,17,
2026-07-26,경기,상품_06,1009357,74,
2026-03-11,서울,상품_05,1255079,35,신규고객
2025-12-27,서울,상품_03,1446097,10,
2026-04-14,강원,상품_17,174422,71,배송주의
2026-04-25,충청,상품_05,1371751,6,대량주문
2025-10-28,경상,상품_16,2717666,77,할인적용
