datetime,nickname,client_ip,event,score
2026-09-15 13:57:22.934,123,172.16.10.142,connect,
2026-09-15 13:59:34.203,123,172.16.10.119,connect,
2026-09-15 13:59:42.310,123,172.16.10.119,start,
2026-09-15 13:59:42.912,123,172.16.10.119,click,1
2026-09-15 13:59:43.075,123,172.16.10.119,click,2
2026-09-15 13:59:43.218,123,172.16.10.119,click,3
2026-09-15 13:59:43.356,123,172.16.10.119,click,4
2026-09-15 13:59:43.510,123,172.16.10.119,click,5
2026-09-15 13:59:43.653,123,172.16.10.119,click,6
2026-09-15 13:59:43.791,123,172.16.10.119,click,7
2026-09-15 13:59:43.941,123,172.16.10.119,click,8
2026-09-15 13:59:44.100,123,172.16.10.119,click,9
2026-09-15 13:59:44.243,123,172.16.10.119,click,10
2026-09-15 13:59:44.392,123,172.16.10.119,click,11
2026-09-15 13:59:44.537,123,172.16.10.119,click,12
2026-09-15 13:59:44.683,123,172.16.10.119,click,13
2026-09-15 13:59:44.833,123,172.16.10.119,click,14
2026-09-15 13:59:44.982,123,172.16.10.119,click,15
2026-09-15 13:59:45.126,123,172.16.10.119,click,16
2026-09-15 13:59:45.276,123,172.16.10.119,click,17
2026-09-15 13:59:45.436,123,172.16.10.119,click,18
2026-09-15 13:59:45.577,123,172.16.10.119,click,19
2026-09-15 13:59:45.704,123,172.16.10.119,click,20
2026-09-15 13:59:45.815,123,172.16.10.119,click,21
2026-09-15 13:59:45.879,123,172.16.10.119,click,22
2026-09-15 13:59:46.066,123,172.16.10.119,click,23
2026-09-15 13:59:46.141,123,172.16.10.119,click,24
2026-09-15 13:59:46.225,123,172.16.10.119,click,25
2026-09-15 13:59:46.320,123,172.16.10.119,click,26
2026-09-15 13:59:46.378,123,172.16.10.119,click,27
2026-09-15 13:59:48.625,123,172.16.10.119,click,28
2026-09-15 13:59:49.198,123,172.16.10.119,click,29
2026-09-15 13:59:49.815,123,172.16.10.119,click,30
2026-09-15 13:59:49.930,123,172.16.10.119,click,31
2026-09-15 13:59:50.055,123,172.16.10.119,click,32
2026-09-15 13:59:50.324,123,172.16.10.119,click,33
2026-09-15 13:59:50.443,123,172.16.10.119,click,34
2026-09-15 13:59:50.636,123,172.16.10.119,click,35
2026-09-15 13:59:50.806,123,172.16.10.119,click,36
2026-09-15 13:59:51.080,123,172.16.10.119,click,37
2026-09-15 13:59:51.176,123,172.16.10.119,click,38
2026-09-15 13:59:51.369,123,172.16.10.119,click,39
2026-09-15 13:59:51.552,123,172.16.10.119,click,40
2026-09-15 13:59:51.752,123,172.16.10.119,click,41
2026-09-15 13:59:51.958,123,172.16.10.119,click,42
2026-09-15 13:59:52.121,123,172.16.10.119,click,43
2026-09-15 13:59:52.204,123,172.16.10.119,click,44
2026-09-15 13:59:52.306,123,172.16.10.119,click,45
2026-09-15 13:59:52.352,123,172.16.10.119,end,45
2026-09-15 14:00:04.782,123,172.16.10.119,start,
2026-09-15 14:00:13.453,qwerty,172.16.10.119,connect,
2026-09-15 14:04:58.770,001,172.16.10.148,connect,
2026-09-15 14:05:00.192,001,172.16.10.148,start,
2026-09-15 14:05:01.112,001,172.16.10.148,click,1
2026-09-15 14:05:01.248,001,172.16.10.148,click,2
2026-09-15 14:05:01.391,001,172.16.10.148,click,3
2026-09-15 14:05:01.519,001,172.16.10.148,click,4
2026-09-15 14:05:01.649,001,172.16.10.148,click,5
2026-09-15 14:05:01.825,001,172.16.10.148,click,6
2026-09-15 14:05:01.974,001,172.16.10.148,click,7
2026-09-15 14:05:02.130,001,172.16.10.148,click,8
2026-09-15 14:05:02.309,001,172.16.10.148,click,9
2026-09-15 14:05:02.450,001,172.16.10.148,click,10
2026-09-15 14:05:02.596,001,172.16.10.148,click,11
2026-09-15 14:05:02.723,001,172.16.10.148,click,12
2026-09-15 14:05:02.849,001,172.16.10.148,click,13
2026-09-15 14:05:02.992,001,172.16.10.148,click,14
2026-09-15 14:05:03.111,001,172.16.10.148,click,15
2026-09-15 14:05:03.233,001,172.16.10.148,click,16
2026-09-15 14:05:03.477,001,172.16.10.148,click,17
2026-09-15 14:05:03.600,001,172.16.10.148,click,18
2026-09-15 14:05:03.979,001,172.16.10.148,click,19
2026-09-15 14:05:04.106,001,172.16.10.148,click,20
2026-09-15 14:05:04.351,001,172.16.10.148,click,21
2026-09-15 14:05:04.476,001,172.16.10.148,click,22
2026-09-15 14:05:04.601,001,172.16.10.148,click,23
2026-09-15 14:05:04.731,001,172.16.10.148,click,24
2026-09-15 14:05:04.856,001,172.16.10.148,click,25
2026-09-15 14:05:04.975,001,172.16.10.148,click,26
2026-09-15 14:05:05.098,001,172.16.10.148,click,27
2026-09-15 14:05:05.237,001,172.16.10.148,click,28
2026-09-15 14:05:05.362,001,172.16.10.148,click,29
2026-09-15 14:05:05.492,001,172.16.10.148,click,30
2026-09-15 14:05:05.859,001,172.16.10.148,click,31
2026-09-15 14:05:05.979,001,172.16.10.148,click,32
2026-09-15 14:05:06.330,001,172.16.10.148,click,33
2026-09-15 14:05:06.459,001,172.16.10.148,click,34
2026-09-15 14:05:06.594,001,172.16.10.148,click,35
2026-09-15 14:05:06.720,001,172.16.10.148,click,36
2026-09-15 14:05:06.843,001,172.16.10.148,click,37
2026-09-15 14:05:06.960,001,172.16.10.148,click,38
2026-09-15 14:05:07.088,001,172.16.10.148,click,39
2026-09-15 14:05:07.214,001,172.16.10.148,click,40
2026-09-15 14:05:07.582,001,172.16.10.148,click,41
2026-09-15 14:05:07.710,001,172.16.10.148,click,42
2026-09-15 14:05:08.698,001,172.16.10.148,click,43
2026-09-15 14:05:08.833,001,172.16.10.148,click,44
2026-09-15 14:05:09.002,001,172.16.10.148,click,45
2026-09-15 14:05:09.153,001,172.16.10.148,click,46
2026-09-15 14:05:09.305,001,172.16.10.148,click,47
2026-09-15 14:05:09.465,001,172.16.10.148,click,48
2026-09-15 14:05:09.617,001,172.16.10.148,click,49
2026-09-15 14:05:09.778,001,172.16.10.148,click,50
2026-09-15 14:05:09.913,001,172.16.10.148,click,51
2026-09-15 14:05:10.086,001,172.16.10.148,click,52
2026-09-15 14:05:10.211,001,172.16.10.148,end,52
2026-09-15 14:22:45.296,부,172.16.10.123,connect,
2026-09-15 14:22:45.983,부,172.16.10.123,start,
2026-09-15 14:22:46.559,부,172.16.10.123,click,1
2026-09-15 14:22:46.750,부,172.16.10.123,click,2
2026-09-15 14:22:46.934,부,172.16.10.123,click,3
2026-09-15 14:22:47.118,부,172.16.10.123,click,4
2026-09-15 14:22:47.271,부,172.16.10.123,click,5
2026-09-15 14:22:47.446,부,172.16.10.123,click,6
2026-09-15 14:22:47.622,부,172.16.10.123,click,7
2026-09-15 14:22:47.801,부,172.16.10.123,click,8
2026-09-15 14:22:47.965,부,172.16.10.123,click,9
2026-09-15 14:22:48.158,부,172.16.10.123,click,10
2026-09-15 14:22:48.335,부,172.16.10.123,click,11
2026-09-15 14:22:48.518,부,172.16.10.123,click,12
2026-09-15 14:22:48.710,부,172.16.10.123,click,13
2026-09-15 14:22:48.941,부,172.16.10.123,click,14
2026-09-15 14:22:49.142,부,172.16.10.123,click,15
2026-09-15 14:22:49.364,부,172.16.10.123,click,16
2026-09-15 14:22:49.565,부,172.16.10.123,click,17
2026-09-15 14:22:49.749,부,172.16.10.123,click,18
2026-09-15 14:22:49.945,부,172.16.10.123,click,19
2026-09-15 14:22:50.141,부,172.16.10.123,click,20
2026-09-15 14:22:50.359,부,172.16.10.123,click,21
2026-09-15 14:22:50.550,부,172.16.10.123,click,22
2026-09-15 14:22:50.719,부,172.16.10.123,click,23
2026-09-15 14:22:50.901,부,172.16.10.123,click,24
2026-09-15 14:22:51.086,부,172.16.10.123,click,25
2026-09-15 14:22:51.287,부,172.16.10.123,click,26
2026-09-15 14:22:51.471,부,172.16.10.123,click,27
2026-09-15 14:22:51.655,부,172.16.10.123,click,28
2026-09-15 14:22:51.858,부,172.16.10.123,click,29
2026-09-15 14:22:52.049,부,172.16.10.123,click,30
2026-09-15 14:22:52.241,부,172.16.10.123,click,31
2026-09-15 14:22:52.430,부,172.16.10.123,click,32
2026-09-15 14:22:52.622,부,172.16.10.123,click,33
2026-09-15 14:22:52.814,부,172.16.10.123,click,34
2026-09-15 14:22:53.003,부,172.16.10.123,click,35
2026-09-15 14:22:53.194,부,172.16.10.123,click,36
2026-09-15 14:22:53.382,부,172.16.10.123,click,37
2026-09-15 14:22:53.593,부,172.16.10.123,click,38
2026-09-15 14:22:53.815,부,172.16.10.123,click,39
2026-09-15 14:22:54.003,부,172.16.10.123,click,40
2026-09-15 14:22:54.195,부,172.16.10.123,click,41
2026-09-15 14:22:54.381,부,172.16.10.123,click,42
2026-09-15 14:22:54.575,부,172.16.10.123,click,43
2026-09-15 14:22:54.758,부,172.16.10.123,click,44
2026-09-15 14:22:55.005,부,172.16.10.123,click,45
2026-09-15 14:22:55.151,부,172.16.10.123,click,46
2026-09-15 14:22:55.353,부,172.16.10.123,click,47
2026-09-15 14:22:55.562,부,172.16.10.123,click,48
2026-09-15 14:22:55.752,부,172.16.10.123,click,49
2026-09-15 14:22:55.934,부,172.16.10.123,click,50
2026-09-15 14:22:55.997,부,172.16.10.123,end,50
2026-09-15 14:23:09.095,부,172.16.10.123,start,
2026-09-15 14:48:08.493,123,172.16.10.119,connect,
2026-09-15 14:48:10.901,123,172.16.10.119,start,
2026-09-15 14:48:11.441,123,172.16.10.119,click,1
2026-09-15 14:48:11.627,123,172.16.10.119,click,2
2026-09-15 14:48:11.777,123,172.16.10.119,click,3
2026-09-15 14:48:11.908,123,172.16.10.119,click,4
2026-09-15 14:48:12.084,123,172.16.10.119,click,5
2026-09-15 14:48:12.226,123,172.16.10.119,click,6
2026-09-15 14:48:12.394,123,172.16.10.119,click,7
2026-09-15 14:48:12.543,123,172.16.10.119,click,8
2026-09-15 14:48:12.694,123,172.16.10.119,click,9
2026-09-15 14:48:12.861,123,172.16.10.119,click,10
2026-09-15 14:48:13.008,123,172.16.10.119,click,11
2026-09-15 14:48:13.177,123,172.16.10.119,click,12
2026-09-15 14:48:13.327,123,172.16.10.119,click,13
2026-09-15 14:48:13.494,123,172.16.10.119,click,14
2026-09-15 14:48:13.659,123,172.16.10.119,click,15
2026-09-15 14:48:13.813,123,172.16.10.119,click,16
2026-09-15 14:48:13.962,123,172.16.10.119,click,17
2026-09-15 14:48:14.112,123,172.16.10.119,click,18
2026-09-15 14:48:14.277,123,172.16.10.119,click,19
2026-09-15 14:48:14.429,123,172.16.10.119,click,20
2026-09-15 14:48:14.578,123,172.16.10.119,click,21
2026-09-15 14:48:14.731,123,172.16.10.119,click,22
2026-09-15 14:48:14.879,123,172.16.10.119,click,23
2026-09-15 14:48:15.046,123,172.16.10.119,click,24
2026-09-15 14:48:15.211,123,172.16.10.119,click,25
2026-09-15 14:48:15.695,123,172.16.10.119,click,26
2026-09-15 14:48:15.860,123,172.16.10.119,click,27
2026-09-15 14:48:16.747,123,172.16.10.119,click,28
2026-09-15 14:48:16.929,123,172.16.10.119,click,29
2026-09-15 14:48:17.062,123,172.16.10.119,click,30
2026-09-15 14:48:17.211,123,172.16.10.119,click,31
2026-09-15 14:48:17.445,123,172.16.10.119,click,32
2026-09-15 14:48:17.743,123,172.16.10.119,click,33
2026-09-15 14:48:17.886,123,172.16.10.119,click,34
2026-09-15 14:48:18.027,123,172.16.10.119,click,35
2026-09-15 14:48:18.162,123,172.16.10.119,click,36
2026-09-15 14:48:18.312,123,172.16.10.119,click,37
2026-09-15 14:48:18.435,123,172.16.10.119,click,38
2026-09-15 14:48:18.577,123,172.16.10.119,click,39
2026-09-15 14:48:18.711,123,172.16.10.119,click,40
2026-09-15 14:48:18.861,123,172.16.10.119,click,41
2026-09-15 14:48:19.030,123,172.16.10.119,click,42
2026-09-15 14:48:19.178,123,172.16.10.119,click,43
2026-09-15 14:48:19.332,123,172.16.10.119,click,44
2026-09-15 14:48:19.480,123,172.16.10.119,click,45
2026-09-15 14:48:19.614,123,172.16.10.119,click,46
2026-09-15 14:48:19.769,123,172.16.10.119,click,47
2026-09-15 14:48:19.919,123,172.16.10.119,click,48
2026-09-15 14:48:20.062,123,172.16.10.119,click,49
2026-09-15 14:48:20.226,123,172.16.10.119,click,50
2026-09-15 14:48:20.397,123,172.16.10.119,click,51
2026-09-15 14:48:20.548,123,172.16.10.119,click,52
2026-09-15 14:48:20.715,123,172.16.10.119,click,53
2026-09-15 14:48:20.865,123,172.16.10.119,click,54
2026-09-15 14:48:20.945,123,172.16.10.119,end,54
