datetime,cpu_percent,memory_percent,memory_used_mb,bytes_sent_total,bytes_recv_total,bytes_sent_1sec,bytes_recv_1sec
2026-09-15 14:47:01,16.1,41.1,13361.4,2330694250,9187192018,12121,12161
2026-09-15 14:47:02,17.6,41.0,13335.2,2330702042,9187203959,7792,11941
2026-09-15 14:47:03,17.3,41.1,13344.8,2330710221,9187215625,8179,11666
2026-09-15 14:47:04,15.7,41.1,13338.1,2330714339,9187226989,4118,11364
2026-09-15 14:47:05,15.9,41.0,13336.1,2330729414,9187231094,15075,4105
2026-09-15 14:47:06,37.9,41.3,13424.2,2330737103,9187246631,7689,15537
2026-09-15 14:47:07,29.2,41.4,13465.0,2330738568,9187248877,1465,2246
2026-09-15 14:47:08,20.3,41.5,13479.3,2330745531,9187257646,6963,8769
2026-09-15 14:47:09,31.9,41.7,13553.9,2330746585,9187259749,1054,2103
2026-09-15 14:47:10,15.0,41.6,13511.3,2330747631,9187261830,1046,2081
2026-09-15 14:47:11,14.2,41.6,13523.0,2330748714,9187263636,1083,1806
2026-09-15 14:47:12,12.0,41.6,13517.1,2330753574,9187267231,4860,3595
2026-09-15 14:47:13,12.9,41.6,13504.1,2330754877,9187269430,1303,2199
2026-09-15 14:47:14,15.3,41.4,13464.9,2330756098,9187271428,1221,1998
2026-09-15 14:47:15,11.3,41.4,13454.6,2330756942,9187273409,844,1981
2026-09-15 14:47:16,12.5,41.4,13455.2,2330758046,9187275529,1104,2120
2026-09-15 14:47:17,11.1,41.4,13461.0,2330759063,9187277381,1017,1852
2026-09-15 14:47:18,16.4,41.5,13478.8,2330760652,9187280103,1589,2722
2026-09-15 14:47:19,15.0,41.5,13484.4,2330762103,9187282380,1451,2277
2026-09-15 14:47:20,17.3,41.5,13488.2,2330763579,9187284487,1476,2107
2026-09-15 14:47:21,14.2,41.5,13489.7,2330764606,9187286630,1027,2143
2026-09-15 14:47:22,12.6,41.2,13380.4,2330765736,9187288480,1130,1850
2026-09-15 14:47:23,12.2,41.2,13376.9,2330767210,9187291085,1474,2605
2026-09-15 14:47:24,14.4,41.2,13397.2,2330769009,9187293796,1799,2711
2026-09-15 14:47:25,13.9,41.2,13401.8,2330770320,9187296256,1311,2460
2026-09-15 14:47:26,20.5,41.3,13431.5,2330780478,9187311114,10158,14858
2026-09-15 14:47:27,15.0,41.3,13431.6,2330789291,9187314727,8813,3613
2026-09-15 14:47:28,10.2,41.3,13422.5,2330790822,9187316895,1531,2168
2026-09-15 14:47:29,13.8,41.3,13422.4,2330791554,9187318249,732,1354
2026-09-15 14:47:30,14.4,41.3,13419.2,2330792749,9187320790,1195,2541
2026-09-15 14:47:31,11.9,41.2,13396.3,2330794563,9187323400,1814,2610
2026-09-15 14:47:32,13.1,41.3,13410.3,2330795621,9187325121,1058,1721
2026-09-15 14:47:33,10.9,41.2,13381.6,2330796802,9187326822,1181,1701
2026-09-15 14:47:34,11.1,41.2,13402.0,2330798044,9187328722,1242,1900
2026-09-15 14:47:35,13.2,41.3,13405.4,2330799133,9187330980,1089,2258
2026-09-15 14:47:36,12.1,41.2,13392.6,2330801162,9187333755,2029,2775
2026-09-15 14:47:37,11.7,41.3,13403.2,2330802836,9187337874,1674,4119
2026-09-15 14:47:38,10.5,41.2,13396.3,2330804475,9187340098,1639,2224
2026-09-15 14:47:39,9.9,41.1,13358.2,2330805187,9187341981,712,1883
2026-09-15 14:47:40,10.5,41.1,13359.7,2330806096,9187343829,909,1848
2026-09-15 14:47:41,11.9,41.2,13385.9,2330806958,9187345410,862,1581
2026-09-15 14:47:42,11.5,41.1,13352.5,2330808514,9187348401,1556,2991
2026-09-15 14:47:43,10.9,41.0,13334.6,2330810436,9187350745,1922,2344
2026-09-15 14:47:44,10.3,41.1,13354.8,2330811648,9187352835,1212,2090
2026-09-15 14:47:45,11.5,41.1,13351.1,2330812791,9187354822,1143,1987
2026-09-15 14:47:46,13.1,41.1,13354.4,2330814011,9187357254,1220,2432
2026-09-15 14:47:47,13.2,41.1,13343.1,2330815034,9187366684,1023,9430
2026-09-15 14:47:48,16.2,41.0,13332.2,2330816351,9187368793,1317,2109
2026-09-15 14:47:49,13.0,41.1,13345.6,2330817713,9187371147,1362,2354
2026-09-15 14:47:50,14.0,41.1,13357.8,2330819112,9187373895,1399,2748
2026-09-15 14:47:51,11.9,41.1,13354.8,2330820037,9187375775,925,1880
2026-09-15 14:47:52,12.9,41.1,13344.7,2330820627,9187377347,590,1572
2026-09-15 14:47:53,12.9,41.0,13318.9,2330829015,9187382123,8388,4776
2026-09-15 14:47:54,48.8,41.5,13487.1,2330833490,9187422898,4475,40775
2026-09-15 14:47:55,38.8,41.5,13493.9,2330834800,9187425436,1310,2538
2026-09-15 14:47:56,10.1,41.5,13490.9,2330835902,9187427526,1102,2090
2026-09-15 14:47:57,14.2,41.5,13472.8,2330837677,9187430132,1775,2606
2026-09-15 14:47:58,13.8,41.4,13449.0,2330838692,9187432241,1015,2109
2026-09-15 14:47:59,13.9,41.4,13444.9,2330839894,9187434137,1202,1896
2026-09-15 14:48:00,13.1,41.4,13463.8,2330841025,9187436648,1131,2511
2026-09-15 14:48:01,14.3,41.4,13443.1,2330844070,9187441098,3045,4450
2026-09-15 14:48:02,13.6,41.5,13467.8,2330845000,9187443090,930,1992
2026-09-15 14:48:03,13.3,41.4,13440.4,2330846326,9187445503,1326,2413
2026-09-15 14:48:04,15.0,40.8,13242.1,2330847927,9187447754,1601,2251
2026-09-15 14:48:05,13.3,40.8,13247.1,2330848858,9187449566,931,1812
2026-09-15 14:48:06,13.2,40.7,13237.6,2330850315,9187451941,1457,2375
