time,target,action,lib,rows,file_size,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-15 18:17:15,pokemon_100k,count,csv-stream,,,,,15.4,15.5,0.1,93.6,0.183
2026-09-15 18:17:15,pokemon_100k,count,csv-list,,,,,15.5,18.2,2.7,105.5,0.207
2026-09-15 18:47:54,1k,agg,csv-stream,,,,,76.4,76.4,0.0,0.0,0.002
2026-09-15 18:47:54,1k,agg,csv-list,,,,,76.4,77.1,0.7,554.6,0.003
2026-09-15 18:47:54,1k,agg,pandas,,,,,77.1,79.2,2.1,157.1,0.01
2026-09-15 18:47:54,1k,agg,pandas-opt,,,,,79.2,79.3,0.1,0.0,0.005
2026-09-15 18:47:54,100k,agg,csv-stream,,,,,79.3,79.4,0.1,100.9,0.217
2026-09-15 18:47:54,100k,agg,csv-list,,,,,79.4,83.5,4.1,88.8,0.264
2026-09-15 18:47:54,100k,agg,pandas,,,,,83.4,87.9,4.5,98.1,0.207
2026-09-15 18:47:55,100k,agg,pandas-opt,,,,,87.9,88.6,0.7,106.6,0.102
2026-09-15 18:47:57,1m,agg,csv-stream,,,,,88.6,88.6,0.0,99.1,2.38
2026-09-15 18:48:00,1m,agg,csv-list,,,,,88.6,90.9,2.3,91.8,3.115
2026-09-15 18:48:02,1m,agg,pandas,,,,,90.9,150.9,60.0,100.5,1.679
2026-09-15 18:48:02,1m,agg,pandas-opt,,,,,149.0,148.0,-1.0,98.7,0.586
