name,status,checked_at,cpu,mem
equipment-0001,오프라인,2026-02-23,94,27
equipment-0002,정상,2026-06-20,93,3
equipment-0003,점검 필요,2026-05-31,17,72
equipment-0004,점검 필요,2026-03-23,6,8
equipment-0005,정상,2026-03-20,25,33
equipment-0006,오프라인,2026-01-07,36,94
equipment-0007,점검 필요,2026-08-22,84,93
equipment-0008,정상,2026-09-09,16,55
equipment-0009,점검 필요,2026-04-15,41,72
equipment-0010,점검 필요,2026-03-10,39,15
equipment-0011,점검 필요,2026-08-27,20,39
equipment-0012,정상,2026-03-24,2,43
equipment-0013,정상,2026-03-18,43,27
equipment-0014,오프라인,2026-02-03,97,69
equipment-0015,오프라인,2026-05-04,22,20
equipment-0016,오프라인,2026-04-10,39,64
equipment-0017,점검 필요,2026-07-28,36,4
equipment-0018,오프라인,2026-06-04,51,85
equipment-0019,정상,2026-03-01,71,4
equipment-0020,정상,2026-02-21,26,88
equipment-0021,점검 필요,2026-01-28,23,58
equipment-0022,오프라인,2026-04-28,86,80
equipment-0023,오프라인,2026-05-22,71,84
equipment-0024,점검 필요,2026-09-02,51,17
equipment-0025,오프라인,2026-03-22,40,16
equipment-0026,오프라인,2026-06-03,7,31
equipment-0027,정상,2026-08-11,83,18
equipment-0028,정상,2026-03-23,30,31
equipment-0029,점검 필요,2026-05-27,43,72
equipment-0030,점검 필요,2026-03-12,39,1
equipment-0031,정상,2026-01-19,100,81
equipment-0032,점검 필요,2026-05-12,2,51
equipment-0033,정상,2026-02-14,99,83
equipment-0034,오프라인,2026-08-06,4,41
equipment-0035,점검 필요,2026-07-10,37,61
equipment-0036,오프라인,2026-06-14,1,43
equipment-0037,점검 필요,2026-02-24,26,68
equipment-0038,점검 필요,2026-03-03,61,13
equipment-0039,점검 필요,2026-04-23,85,79
equipment-0040,정상,2026-03-29,38,26
equipment-0041,오프라인,2026-01-16,21,98
equipment-0042,점검 필요,2026-04-01,59,55
equipment-0043,정상,2026-05-05,97,10
equipment-0044,정상,2026-07-29,31,72
equipment-0045,정상,2026-04-28,86,22
equipment-0046,오프라인,2026-05-04,69,48
equipment-0047,점검 필요,2026-03-14,35,54
equipment-0048,점검 필요,2026-08-20,79,71
equipment-0049,정상,2026-03-18,58,98
equipment-0050,오프라인,2026-09-09,58,48
equipment-0051,오프라인,2026-01-07,55,12
equipment-0052,오프라인,2026-08-03,38,89
equipment-0053,정상,2026-04-05,91,76
equipment-0054,정상,2026-06-02,82,89
equipment-0055,정상,2026-04-08,26,76
equipment-0056,오프라인,2026-09-05,22,1
equipment-0057,정상,2026-05-12,6,15
equipment-0058,오프라인,2026-05-10,91,50
equipment-0059,오프라인,2026-02-15,94,30
equipment-0060,정상,2026-01-07,93,17
equipment-0061,정상,2026-07-16,34,26
equipment-0062,정상,2026-08-25,95,57
equipment-0063,오프라인,2026-03-03,14,98
equipment-0064,오프라인,2026-07-21,30,85
equipment-0065,오프라인,2026-05-13,81,48
equipment-0066,오프라인,2026-05-23,68,22
equipment-0067,오프라인,2026-02-18,33,41
equipment-0068,점검 필요,2026-01-23,61,8
equipment-0069,점검 필요,2026-04-26,73,60
equipment-0070,정상,2026-03-27,87,26
equipment-0071,점검 필요,2026-05-06,60,17
equipment-0072,점검 필요,2026-07-26,85,11
equipment-0073,점검 필요,2026-06-12,56,69
equipment-0074,정상,2026-09-03,21,79
equipment-0075,정상,2026-01-30,39,22
equipment-0076,정상,2026-01-30,34,76
equipment-0077,점검 필요,2026-07-23,73,23
equipment-0078,점검 필요,2026-07-04,80,7
equipment-0079,오프라인,2026-04-03,71,60
equipment-0080,점검 필요,2026-03-06,76,55
equipment-0081,오프라인,2026-08-06,65,90
equipment-0082,점검 필요,2026-06-25,16,55
equipment-0083,오프라인,2026-05-15,17,4
equipment-0084,정상,2026-07-26,39,55
equipment-0085,오프라인,2026-05-15,25,62
equipment-0086,점검 필요,2026-05-04,18,27
equipment-0087,점검 필요,2026-03-18,89,12
equipment-0088,점검 필요,2026-02-02,82,44
equipment-0089,점검 필요,2026-04-18,99,60
equipment-0090,오프라인,2026-05-26,80,98
equipment-0091,정상,2026-01-04,36,13
equipment-0092,점검 필요,2026-01-23,72,29
equipment-0093,정상,2026-08-15,73,78
equipment-0094,점검 필요,2026-09-06,82,52
equipment-0095,오프라인,2026-02-15,5,53
equipment-0096,점검 필요,2026-05-02,2,12
equipment-0097,오프라인,2026-07-11,16,11
equipment-0098,점검 필요,2026-02-09,76,92
equipment-0099,정상,2026-01-25,94,55
equipment-0100,점검 필요,2026-08-18,35,98
equipment-0101,점검 필요,2026-05-01,4,49
equipment-0102,점검 필요,2026-01-03,6,79
equipment-0103,정상,2026-06-20,18,8
equipment-0104,오프라인,2026-05-12,76,74
equipment-0105,오프라인,2026-08-12,87,15
equipment-0106,정상,2026-07-01,89,64
equipment-0107,정상,2026-04-25,99,2
equipment-0108,점검 필요,2026-03-04,3,26
equipment-0109,점검 필요,2026-05-03,80,58
equipment-0110,오프라인,2026-08-18,50,91
equipment-0111,오프라인,2026-06-27,34,32
equipment-0112,정상,2026-08-24,55,55
equipment-0113,정상,2026-07-09,60,16
equipment-0114,오프라인,2026-07-27,96,46
equipment-0115,정상,2026-06-19,18,87
equipment-0116,정상,2026-09-11,38,24
equipment-0117,오프라인,2026-03-13,71,91
equipment-0118,점검 필요,2026-07-07,3,50
equipment-0119,오프라인,2026-04-13,89,56
equipment-0120,오프라인,2026-07-03,13,98
